Level,Question,Option A,Option B,Option C,Option D,Answer
Beginner,What does the “CIA” in cybersecurity stand for?,Centralization,Integrity,Availability,Confidentiality; Integrity; Availability,Control,Isolation,Authentication,Confidentiality; Integrity; Availability,Availability; Integrity; Authentication,Confidentiality; Integrity; Availability
Beginner,What is the primary purpose of a firewall in network security?,Encrypt data,Monitor and block unauthorized network traffic,Scan for viruses,Manage user accounts,Monitor and block unauthorized network traffic
Beginner,Which of the following is a type of authentication factor?,Firewall,Packet filtering,Encryption,Biometric,Biometric
Beginner,Which of the following describes a cyber attack?,A way to speed up network traffic,An attempt to steal, spy or damage computer systems,A method of data backup,A type of encryption,An attempt to steal, spy or damage computer systems
Beginner,What is the main objective of cybersecurity measures?,Boost data storage efficiency,Safeguard information and infrastructure from cyber threats,Streamline software development,Enhance system performance,Safeguard information and infrastructure from cyber threats
Intermediate,Which is an example of symmetric encryption algorithm?,RSA,AES,ECC,DSA,AES
Intermediate,What is the function of a web-application firewall (WAF)?,Translate domain names to IP addresses,Protect web applications from attacks,Encrypt all web traffic,Block email spam,Protect web applications from attacks
Intermediate,What is the role of a security policy within an organization?,Encrypt sensitive data,Define rules for protecting assets,Monitor network speed,Increase server storage,Define rules for protecting assets
Intermediate,Which of the following is a common social-engineering attack vector?,Firewall,Phishing,Encryption,WAF,Phishing
Intermediate,What is the purpose of multi-factor authentication (MFA)?,Reduce authentication time,Enhance security with multiple verification steps,Increase network capacity,Simplify user login,Enhance security with multiple verification steps
Advanced,What is a “zero-day” vulnerability?,A vulnerability with a patch,An unknown/unpatched flaw,An old malware type,A deprecated protocol,An unknown/unpatched flaw
Advanced,What is the primary purpose of a security information and event management (SIEM) system?,Encrypt data,Manage user accounts,Collect and analyze security event data,Backup data,Collect and analyze security event data
Advanced,What does a penetration test aim to achieve?,Encrypt data,Simulate cyberattacks to identify vulnerabilities,Block network traffic,Manage user permissions,Simulate cyberattacks to identify vulnerabilities
Advanced,Which of the following defines a “vulnerability” in cybersecurity?,A tool used by attackers,A configuration setting only,A weakness in a system,A security control,A weakness in a system
Advanced,Which security principle states that users should get only the minimal access they need to perform their roles?,Open design,Economy of mechanism,Least privilege,Fail-safe defaults,Least privilege
